Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice,Year,Month,DayOfWeek,HourOfDay,ExchangeRateDate,GBP_to_USD_Rate,GBP_to_EUR_Rate,TotalPrice_USD,TotalPrice_EUR
489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,2009-12-01 07:45:00,2.1,13085,United Kingdom,100.8,2009,12,1,7,2025-08-20,1.25,1.15,126.0,115.92
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009-12-01 07:45:00,6.95,13085,United Kingdom,83.4,2009,12,1,7,2025-08-20,1.25,1.15,104.25,95.91
489434,79323P,PINK CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085,United Kingdom,81.0,2009,12,1,7,2025-08-20,1.25,1.15,101.25,93.15
489434,79323W,WHITE CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085,United Kingdom,81.0,2009,12,1,7,2025-08-20,1.25,1.15,101.25,93.15
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,2009-12-01 07:45:00,5.95,13085,United Kingdom,59.5,2009,12,1,7,2025-08-20,1.25,1.15,74.38,68.42
489436,48173C,DOOR MAT BLACK FLOCK ,10,2009-12-01 09:06:00,5.95,13078,United Kingdom,59.5,2009,12,1,9,2025-08-20,1.25,1.15,74.38,68.42
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,2009-12-01 07:46:00,3.75,13085,United Kingdom,45.0,2009,12,1,7,2025-08-20,1.25,1.15,56.25,51.75
489435,22195,HEART MEASURING SPOONS LARGE,24,2009-12-01 07:46:00,1.65,13085,United Kingdom,39.6,2009,12,1,7,2025-08-20,1.25,1.15,49.5,45.54
489434,22064,PINK DOUGHNUT TRINKET POT ,24,2009-12-01 07:45:00,1.65,13085,United Kingdom,39.6,2009,12,1,7,2025-08-20,1.25,1.15,49.5,45.54
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12,2009-12-01 07:46:00,2.55,13085,United Kingdom,30.6,2009,12,1,7,2025-08-20,1.25,1.15,38.25,35.19
489435,22350,CAT BOWL ,12,2009-12-01 07:46:00,2.55,13085,United Kingdom,30.6,2009,12,1,7,2025-08-20,1.25,1.15,38.25,35.19
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2009-12-01 07:45:00,1.25,13085,United Kingdom,30.0,2009,12,1,7,2025-08-20,1.25,1.15,37.5,34.5
489434,21871,SAVE THE PLANET MUG,24,2009-12-01 07:45:00,1.25,13085,United Kingdom,30.0,2009,12,1,7,2025-08-20,1.25,1.15,37.5,34.5
