Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice,Year,Month,DayOfWeek,HourOfDay,ExchangeRateDate,GBP_to_USD_Rate,GBP_to_EUR_Rate,TotalPrice_USD,TotalPrice_EUR
581483,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,2011-12-09 09:15:00,2.08,16446,United Kingdom,168469.6,2011,12,Friday,9,2025-08-27,1.25,1.15,210587.0,193740.04
541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,2011-01-18 10:01:00,1.04,12346,United Kingdom,77183.6,2011,1,Tuesday,10,2025-08-27,1.25,1.15,96479.5,88761.14
556444,22502,PICNIC BASKET WICKER 60 PIECES,60,2011-06-10 15:28:00,649.5,15098,United Kingdom,38970.0,2011,6,Friday,15,2025-08-27,1.25,1.15,48712.5,44815.5
530715,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,9360,2010-11-04 11:36:00,1.69,15838,United Kingdom,15818.4,2010,11,Thursday,11,2025-08-27,1.25,1.15,19773.0,18191.16
511465,15044A,PINK PAPER PARASOL ,3500,2010-06-08 12:59:00,2.55,18008,United Kingdom,8925.0,2010,6,Tuesday,12,2025-08-27,1.25,1.15,11156.25,10263.75
567423,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,1412,2011-09-20 11:05:00,5.06,17450,United Kingdom,7144.72,2011,9,Tuesday,11,2025-08-27,1.25,1.15,8930.9,8216.43
540815,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2011-01-11 12:55:00,2.1,15749,United Kingdom,6539.4,2011,1,Tuesday,12,2025-08-27,1.25,1.15,8174.25,7520.31
550461,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2011-04-18 13:20:00,2.1,15749,United Kingdom,6539.4,2011,4,Monday,13,2025-08-27,1.25,1.15,8174.25,7520.31
525968,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3120,2010-10-08 10:10:00,1.66,15838,United Kingdom,5179.2,2010,10,Friday,10,2025-08-27,1.25,1.15,6474.0,5956.08
573003,23084,RABBIT NIGHT LIGHT,2400,2011-10-27 12:11:00,2.08,14646,Netherlands,4992.0,2011,10,Thursday,12,2025-08-27,1.25,1.15,6240.0,5740.8
540815,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1930,2011-01-11 12:55:00,2.55,15749,United Kingdom,4921.5,2011,1,Tuesday,12,2025-08-27,1.25,1.15,6151.88,5659.72
550461,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1930,2011-04-18 13:20:00,2.4,15749,United Kingdom,4632.0,2011,4,Monday,13,2025-08-27,1.25,1.15,5790.0,5326.8
540818,48185,DOORMAT FAIRY CAKE,670,2011-01-11 12:57:00,6.75,15749,United Kingdom,4522.5,2011,1,Tuesday,12,2025-08-27,1.25,1.15,5653.12,5200.88
524181,21622,VINTAGE UNION JACK CUSHION COVER,648,2010-09-27 16:59:00,6.89,17450,United Kingdom,4464.72,2010,9,Monday,16,2025-08-27,1.25,1.15,5580.9,5134.43
558526,23173,REGENCY TEAPOT ROSES ,540,2011-06-30 11:01:00,8.15,17949,United Kingdom,4401.0,2011,6,Thursday,11,2025-08-27,1.25,1.15,5501.25,5061.15
550461,48185,DOORMAT FAIRY CAKE,670,2011-04-18 13:20:00,6.35,15749,United Kingdom,4254.5,2011,4,Monday,13,2025-08-27,1.25,1.15,5318.12,4892.67
532358,84879,ASSORTED COLOUR BIRD ORNAMENT,2880,2010-11-11 17:05:00,1.45,12931,United Kingdom,4176.0,2010,11,Thursday,17,2025-08-27,1.25,1.15,5220.0,4802.4
562439,84879,ASSORTED COLOUR BIRD ORNAMENT,2880,2011-08-04 18:06:00,1.45,12931,United Kingdom,4176.0,2011,8,Thursday,18,2025-08-27,1.25,1.15,5220.0,4802.4
540689,22470,HEART OF WICKER LARGE,1284,2011-01-11 08:43:00,3.21,17450,United Kingdom,4121.64,2011,1,Tuesday,8,2025-08-27,1.25,1.15,5152.05,4739.89
529613,22423,REGENCY CAKESTAND 3 TIER,360,2010-10-29 10:46:00,10.95,17949,United Kingdom,3942.0,2010,10,Friday,10,2025-08-27,1.25,1.15,4927.5,4533.3
526934,22790,"MIRROR, ARCHED GEORGIAN",200,2010-10-14 09:46:00,19.42,18102,United Kingdom,3884.0,2010,10,Thursday,9,2025-08-27,1.25,1.15,4855.0,4466.6
524181,21624,VINTAGE UNION JACK DOORSTOP,648,2010-09-27 16:59:00,5.96,17450,United Kingdom,3862.08,2010,9,Monday,16,2025-08-27,1.25,1.15,4827.6,4441.39
581115,22413,METAL SIGN TAKE IT OR LEAVE IT ,1404,2011-12-07 12:20:00,2.75,15195,United Kingdom,3861.0,2011,12,Wednesday,12,2025-08-27,1.25,1.15,4826.25,4440.15
537659,21623,VINTAGE UNION JACK MEMOBOARD,600,2010-12-07 16:43:00,6.38,18102,United Kingdom,3828.0,2010,12,Tuesday,16,2025-08-27,1.25,1.15,4785.0,4402.2
567423,23113,PANTRY CHOPPING BOARD,756,2011-09-20 11:05:00,5.06,17450,United Kingdom,3825.36,2011,9,Tuesday,11,2025-08-27,1.25,1.15,4781.7,4399.16
537899,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1488,2010-12-09 10:44:00,2.55,12755,Japan,3794.4,2010,12,Thursday,10,2025-08-27,1.25,1.15,4743.0,4363.56
523166,22632,HAND WARMER RED POLKA DOT,2004,2010-09-20 15:33:00,1.85,17940,United Kingdom,3707.4,2010,9,Monday,15,2025-08-27,1.25,1.15,4634.25,4263.51
540815,21175,GIN + TONIC DIET METAL SIGN,2000,2011-01-11 12:55:00,1.85,15749,United Kingdom,3700.0,2011,1,Tuesday,12,2025-08-27,1.25,1.15,4625.0,4255.0
579498,23084,RABBIT NIGHT LIGHT,2040,2011-11-29 15:52:00,1.79,12798,Japan,3651.6,2011,11,Tuesday,15,2025-08-27,1.25,1.15,4564.5,4199.34
497946,85220,SMALL FAIRY CAKE FRIDGE MAGNETS,2504,2010-02-15 11:57:00,1.45,13902,Denmark,3630.8,2010,2,Monday,11,2025-08-27,1.25,1.15,4538.5,4175.42
567423,22722,SET OF 6 SPICE TINS PANTRY DESIGN,852,2011-09-20 11:05:00,4.25,17450,United Kingdom,3621.0,2011,9,Tuesday,11,2025-08-27,1.25,1.15,4526.25,4164.15
524181,21621,VINTAGE UNION JACK BUNTING,408,2010-09-27 16:59:00,8.87,17450,United Kingdom,3618.96,2010,9,Monday,16,2025-08-27,1.25,1.15,4523.7,4161.8
524181,21770,OPEN CLOSED METAL SIGN,684,2010-09-27 16:59:00,5.15,17450,United Kingdom,3522.6,2010,9,Monday,16,2025-08-27,1.25,1.15,4403.25,4050.99
550461,21175,GIN + TONIC DIET METAL SIGN,2000,2011-04-18 13:20:00,1.69,15749,United Kingdom,3380.0,2011,4,Monday,13,2025-08-27,1.25,1.15,4225.0,3887.0
540818,47556B,TEA TIME TEA TOWELS ,1300,2011-01-11 12:57:00,2.55,15749,United Kingdom,3315.0,2011,1,Tuesday,12,2025-08-27,1.25,1.15,4143.75,3812.25
524181,21906,PHARMACIE FIRST AID TIN,464,2010-09-27 16:59:00,7.13,17450,United Kingdom,3308.32,2010,9,Monday,16,2025-08-27,1.25,1.15,4135.4,3804.57
572209,23556,LANDMARK FRAME COVENT GARDEN ,300,2011-10-21 12:08:00,10.95,18102,United Kingdom,3285.0,2011,10,Friday,12,2025-08-27,1.25,1.15,4106.25,3777.75
572209,23554,LANDMARK FRAME OXFORD STREET,300,2011-10-21 12:08:00,10.95,18102,United Kingdom,3285.0,2011,10,Friday,12,2025-08-27,1.25,1.15,4106.25,3777.75
